hd,jcd,rno,win_lane,win_racer_id,decision
20240204,02,10,3,4983,まくり差し
20240204,02,11,1,4532,逃げ
20240204,02,12,4,4826,まくり
20240204,02,1,3,4693,まくり
20240204,02,2,1,4674,抜き
20240204,02,3,1,4898,逃げ
20240204,02,4,3,4700,まくり
20240204,02,5,3,4846,まくり差し
20240204,02,6,4,4983,抜き
20240204,02,7,1,4324,逃げ
20240204,02,8,1,3664,逃げ
20240204,02,9,3,3436,まくり
20240204,03,10,3,5029,まくり差し
20240204,03,11,1,3686,逃げ
20240204,03,12,1,4028,逃げ
20240204,03,1,1,3202,逃げ
20240204,03,2,1,3306,逃げ
20240204,03,3,3,4332,まくり差し
20240204,03,4,4,4729,差し
20240204,03,5,1,4383,逃げ
20240204,03,6,1,5053,逃げ
20240204,03,7,1,4956,逃げ
20240204,03,8,3,3541,まくり
20240204,03,9,1,4318,逃げ
20240204,04,10,1,3978,逃げ
20240204,04,11,1,4787,逃げ
20240204,04,12,2,3159,差し
20240204,04,1,1,4546,恵まれ
20240204,04,2,1,4769,逃げ
20240204,04,3,2,5051,まくり
20240204,04,4,1,4575,逃げ
20240204,04,5,1,3952,逃げ
20240204,04,6,1,4140,逃げ
20240204,04,7,1,5051,逃げ
20240204,04,8,1,4645,逃げ
20240204,04,9,1,4191,逃げ
20240204,08,10,1,4398,逃げ
20240204,08,11,1,4561,逃げ
20240204,08,12,1,4391,逃げ
20240204,08,1,2,2538,差し
20240204,08,2,2,4014,抜き
20240204,08,3,1,4569,逃げ
20240204,08,4,3,4384,まくり差し
20240204,08,5,1,4979,逃げ
20240204,08,6,2,3708,差し
20240204,08,7,3,4561,まくり
20240204,08,8,3,4391,まくり
20240204,08,9,1,4197,逃げ
20240204,09,10,4,4377,まくり
20240204,09,11,3,5221,抜き
20240204,09,12,1,4172,逃げ
20240204,09,1,1,4888,逃げ
20240204,09,2,1,4461,逃げ
20240204,09,3,3,4196,まくり差し
20240204,09,4,4,4172,まくり
20240204,09,5,4,4425,まくり差し
20240204,09,6,1,4906,抜き
20240204,09,7,1,4080,逃げ
20240204,09,8,1,3850,逃げ
20240204,09,9,5,3350,恵まれ
20240204,11,10,4,3606,まくり差し
20240204,11,11,1,4578,逃げ
20240204,11,12,1,4908,逃げ
20240204,11,1,3,4215,まくり
20240204,11,2,1,3605,逃げ
20240204,11,3,1,3478,逃げ
20240204,11,4,1,4380,逃げ
20240204,11,5,2,3606,差し
20240204,11,6,3,4908,差し
20240204,11,7,6,3721,まくり
20240204,11,8,5,3605,まくり差し
20240204,11,9,1,4323,抜き
20240204,12,10,1,4016,逃げ
20240204,12,11,1,4570,逃げ
20240204,12,12,3,4788,まくり差し
20240204,12,1,1,4047,抜き
20240204,12,2,1,4119,逃げ
20240204,12,3,4,4560,抜き
